epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
48,276.189,1.76131,3.27133,1.09323,1.38294,0,0.87875,0.81977,0.85684,0.43737,0.78718,0.73024,0.70983,0.28662,2.14909,3.92627,1.05525,1.76242,0,0.00076735,0.00076735,0.00076735
49,281.878,1.78048,3.29034,1.11596,1.39135,0,0.85705,0.8127,0.84726,0.50327,0.79902,0.73222,0.73065,0.32821,1.89116,3.53445,1.00989,1.58223,0,0.0007624,0.0007624,0.0007624
50,287.586,1.74951,3.33631,1.14006,1.38121,0,0.8355,0.79341,0.85069,0.48925,0.80648,0.69041,0.72679,0.34063,1.91245,3.51928,1.01108,1.609,0,0.00075745,0.00075745,0.00075745
51,293.298,1.73959,3.29155,1.12289,1.36229,0,0.88755,0.84719,0.87376,0.50373,0.81761,0.77072,0.76742,0.34504,1.89033,3.64949,1.0282,1.58113,0,0.0007525,0.0007525,0.0007525
52,299.043,1.74137,3.29291,1.12302,1.37292,0,0.8499,0.83843,0.88096,0.46875,0.77862,0.72029,0.70886,0.30018,2.08282,3.8202,1.07438,1.71889,0,0.00074755,0.00074755,0.00074755
53,304.839,1.69665,3.18125,1.08522,1.3525,0,0.90975,0.84244,0.8984,0.52936,0.83532,0.76311,0.76991,0.377,1.8143,3.48919,0.96361,1.56125,0,0.0007426,0.0007426,0.0007426
54,310.463,1.71621,3.19194,1.08129,1.36091,0,0.87545,0.81697,0.85337,0.4992,0.80596,0.74972,0.73924,0.35279,1.89514,3.63728,1.0252,1.60361,0,0.00073765,0.00073765,0.00073765
55,315.978,1.69287,3.15566,1.08099,1.36929,0,0.89344,0.81196,0.88147,0.49209,0.78015,0.68073,0.69293,0.34489,1.99968,3.5373,1.05159,1.64489,0,0.0007327,0.0007327,0.0007327
56,321.47,1.69921,3.19464,1.06805,1.34947,0,0.85485,0.74045,0.79827,0.45329,0.77979,0.67201,0.68975,0.31826,2.03132,3.67837,1.31819,1.68317,0,0.00072775,0.00072775,0.00072775
57,326.979,1.67942,3.17817,1.08587,1.35211,0,0.84804,0.83658,0.86596,0.52128,0.85908,0.7243,0.76908,0.38715,1.86264,3.37738,0.93583,1.59315,0,0.0007228,0.0007228,0.0007228
58,332.529,1.72418,3.23062,1.11945,1.37755,0,0.87958,0.90076,0.9069,0.53335,0.78302,0.81057,0.7916,0.39277,1.85007,3.481,0.93476,1.56519,0,0.00071785,0.00071785,0.00071785
59,338.086,1.69297,3.13202,1.04186,1.35833,0,0.90355,0.85634,0.89593,0.53311,0.8481,0.79116,0.78424,0.38088,1.86799,3.3929,0.9285,1.58015,0,0.0007129,0.0007129,0.0007129
60,343.594,1.64592,3.13474,1.04931,1.33769,0,0.92364,0.773,0.85785,0.50129,0.83206,0.69848,0.72364,0.34918,1.95183,3.56096,1.10959,1.63183,0,0.00070795,0.00070795,0.00070795
61,349.14,1.67195,3.12382,1.02941,1.33333,0,0.85454,0.84454,0.87149,0.51039,0.77285,0.74453,0.74077,0.36313,1.80005,3.53124,0.98067,1.56252,0,0.000703,0.000703,0.000703
62,354.676,1.67613,3.16658,1.05932,1.34578,0,0.90878,0.77852,0.85466,0.47983,0.8344,0.70558,0.73189,0.33713,1.97954,3.54837,0.96274,1.64365,0,0.00069805,0.00069805,0.00069805
63,360.187,1.68122,3.11929,1.02924,1.36569,0,0.91425,0.87339,0.91156,0.55574,0.86669,0.82641,0.83018,0.42452,1.74664,3.24938,0.82602,1.5178,0,0.0006931,0.0006931,0.0006931
64,365.72,1.64176,3.09606,0.99169,1.32714,0,0.85938,0.85819,0.88034,0.52594,0.80022,0.74832,0.74644,0.37485,1.85637,3.42973,0.93339,1.59564,0,0.00068815,0.00068815,0.00068815
