epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
77,461.247,1.5961,3.03814,0.93077,1.30783,0,0.94263,0.85258,0.92129,0.58537,0.89028,0.801,0.80693,0.40406,1.77152,3.30308,0.7389,1.53384,0,0.0006238,0.0006238,0.0006238
78,467.146,1.6328,3.04505,0.96319,1.32731,0,0.88271,0.91033,0.91768,0.55564,0.87286,0.80329,0.82244,0.42593,1.76061,3.24092,0.79072,1.535,0,0.00061885,0.00061885,0.00061885
79,473.047,1.63358,3.06879,0.96168,1.32842,0,0.90573,0.87873,0.91275,0.53681,0.84605,0.80915,0.81101,0.39296,1.92363,3.20333,0.84995,1.55235,0,0.0006139,0.0006139,0.0006139
80,478.905,1.61055,3.01411,0.91236,1.31589,0,0.9046,0.86043,0.89927,0.52676,0.87516,0.82004,0.82666,0.40026,1.8342,3.28548,0.84921,1.55543,0,0.00060895,0.00060895,0.00060895
81,484.837,1.61792,3.05511,0.96099,1.31806,0,0.89782,0.86607,0.89695,0.54947,0.83531,0.7933,0.80183,0.41731,1.77819,3.13636,0.82009,1.5197,0,0.000604,0.000604,0.000604
82,490.746,1.61672,3.05665,0.97459,1.33475,0,0.87714,0.84678,0.89006,0.54665,0.88412,0.77076,0.80686,0.40676,1.78469,3.23187,0.83611,1.53512,0,0.00059905,0.00059905,0.00059905
83,496.65,1.57062,2.96312,0.92101,1.28847,0,0.91877,0.87628,0.91449,0.54733,0.86525,0.77549,0.78483,0.40772,1.80817,3.19975,0.79202,1.54382,0,0.0005941,0.0005941,0.0005941
84,502.54,1.57546,2.9584,0.90742,1.29266,0,0.92069,0.86234,0.90683,0.53525,0.88466,0.79537,0.80398,0.41615,1.83233,3.2517,0.81737,1.56493,0,0.00058915,0.00058915,0.00058915
85,508.557,1.58626,3.05049,0.96763,1.32286,0,0.91675,0.89266,0.91596,0.54042,0.84307,0.78857,0.77245,0.39649,1.85643,3.36005,0.76318,1.60733,0,0.0005842,0.0005842,0.0005842
86,514.472,1.58187,2.9906,0.90791,1.30244,0,0.92863,0.9024,0.92887,0.57799,0.8668,0.81816,0.8216,0.42399,1.74028,3.15322,0.73332,1.51874,0,0.00057925,0.00057925,0.00057925
87,520.374,1.55775,3.02272,0.92075,1.2817,0,0.91081,0.87403,0.91916,0.59519,0.8813,0.83774,0.85682,0.46173,1.62714,3.01386,0.73517,1.45105,0,0.0005743,0.0005743,0.0005743
88,526.283,1.5723,2.95441,0.89383,1.2934,0,0.89505,0.81476,0.88575,0.53239,0.84566,0.74474,0.76775,0.37883,1.82396,3.32927,0.90036,1.54902,0,0.00056935,0.00056935,0.00056935
89,532.161,1.55258,2.9396,0.91022,1.27621,0,0.88981,0.9136,0.91708,0.5972,0.86061,0.84872,0.84118,0.44038,1.68097,3.20879,0.71608,1.45826,0,0.0005644,0.0005644,0.0005644
90,538.071,1.56931,3.01244,0.92289,1.28616,0,0.88764,0.91028,0.91503,0.54987,0.83422,0.82269,0.80586,0.39923,1.82589,3.48633,0.74157,1.56617,0,0.00055945,0.00055945,0.00055945
91,543.979,1.57818,2.98348,0.89347,1.29486,0,0.89252,0.82638,0.89647,0.51966,0.81396,0.7413,0.75079,0.37637,1.86922,3.41147,0.81496,1.59291,0,0.0005545,0.0005545,0.0005545
92,550.014,1.5672,2.96895,0.92494,1.29289,0,0.90316,0.85927,0.91502,0.58938,0.87425,0.80571,0.84136,0.43561,1.64773,3.15832,0.74086,1.47518,0,0.00054955,0.00054955,0.00054955
93,555.917,1.57452,2.98084,0.89354,1.29888,0,0.90969,0.85247,0.90773,0.56343,0.84161,0.77195,0.79067,0.39848,1.8073,3.3137,0.75228,1.54728,0,0.0005446,0.0005446,0.0005446
94,561.832,1.58231,2.95752,0.92079,1.30607,0,0.85205,0.89439,0.89608,0.57594,0.83211,0.78212,0.78884,0.41611,1.66121,3.19866,0.75526,1.48945,0,0.00053965,0.00053965,0.00053965
95,567.768,1.52939,2.94176,0.89378,1.28473,0,0.90435,0.87047,0.90631,0.58293,0.84042,0.80182,0.81008,0.4367,1.61336,3.11274,0.76158,1.45688,0,0.0005347,0.0005347,0.0005347
