[INFO] Session log file: dataset/debug/session_20260520_164514.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2616465765, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=73, depth_sets=72, color=1280×720,OBFormat.RGB,ts=2616472548, depth=640×576,OBFormat.Y16,ts=2616472549
[DEBUG] frames: total=74, depth_sets=73, color=1280×720,OBFormat.RGB,ts=2616472648, depth=640×576,OBFormat.Y16,ts=2616472649
[DEBUG] frames: total=75, depth_sets=74, color=1280×720,OBFormat.RGB,ts=2616472714, depth=640×576,OBFormat.Y16,ts=2616472715
[DEBUG] frames: total=76, depth_sets=75, color=1280×720,OBFormat.RGB,ts=2616472814, depth=640×576,OBFormat.Y16,ts=2616472815
[DEBUG] frames: total=77, depth_sets=76, color=1280×720,OBFormat.RGB,ts=2616472914, depth=640×576,OBFormat.Y16,ts=2616472915
[DEBUG] frames: total=78, depth_sets=77, color=1280×720,OBFormat.RGB,ts=2616472980, depth=640×576,OBFormat.Y16,ts=2616472981
[DEBUG] frames: total=79, depth_sets=78, color=1280×720,OBFormat.RGB,ts=2616473080, depth=640×576,OBFormat.Y16,ts=2616473081
[DEBUG] frames: total=80, depth_sets=79, color=1280×720,OBFormat.RGB,ts=2616473147, depth=640×576,OBFormat.Y16,ts=2616473148
[DEBUG] frames: total=81, depth_sets=80, color=1280×720,OBFormat.RGB,ts=2616473246, depth=640×576,OBFormat.Y16,ts=2616473247
[DEBUG] frames: total=82, depth_sets=81, color=1280×720,OBFormat.RGB,ts=2616473346, depth=640×576,OBFormat.Y16,ts=2616473347
[DEBUG] frames: total=83, depth_sets=82, color=1280×720,OBFormat.RGB,ts=2616473413, depth=640×576,OBFormat.Y16,ts=2616473414
[DEBUG] frames: total=84, depth_sets=83, color=1280×720,OBFormat.RGB,ts=2616473512, depth=640×576,OBFormat.Y16,ts=2616473513
[DEBUG] frames: total=85, depth_sets=84, color=1280×720,OBFormat.RGB,ts=2616473612, depth=640×576,OBFormat.Y16,ts=2616473613
[DEBUG] frames: total=86, depth_sets=85, color=1280×720,OBFormat.RGB,ts=2616473679, depth=640×576,OBFormat.Y16,ts=2616473680
[DEBUG] frames: total=87, depth_sets=86, color=1280×720,OBFormat.RGB,ts=2616473778, depth=640×576,OBFormat.Y16,ts=2616473779
[DEBUG] frames: total=88, depth_sets=87, color=1280×720,OBFormat.RGB,ts=2616473845, depth=640×576,OBFormat.Y16,ts=2616473846
[DEBUG] frames: total=89, depth_sets=88, color=1280×720,OBFormat.RGB,ts=2616473945, depth=640×576,OBFormat.Y16,ts=2616473946
[DEBUG] frames: total=90, depth_sets=89, color=1280×720,OBFormat.RGB,ts=2616474011, depth=640×576,OBFormat.Y16,ts=2616474012
[DEBUG] frames: total=91, depth_sets=90, color=1280×720,OBFormat.RGB,ts=2616474111, depth=640×576,OBFormat.Y16,ts=2616474112
[DEBUG] frames: total=92, depth_sets=91, color=1280×720,OBFormat.RGB,ts=2616474177, depth=640×576,OBFormat.Y16,ts=2616474178
[DEBUG] frames: total=93, depth_sets=92, color=1280×720,OBFormat.RGB,ts=2616474277, depth=640×576,OBFormat.Y16,ts=2616474278
[DEBUG] frames: total=94, depth_sets=93, color=1280×720,OBFormat.RGB,ts=2616474377, depth=640×576,OBFormat.Y16,ts=2616474378
