[INFO] Session log file: dataset/debug/session_20260519_132034.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517784909, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785009, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=3, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785109, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=4, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785142, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=82, depth_sets=77, color=1280×720,OBFormat.RGB,ts=2517792158, depth=640×576,OBFormat.Y16,ts=2517792159
[DEBUG] frames: total=83, depth_sets=78, color=1280×720,OBFormat.RGB,ts=2517792258, depth=640×576,OBFormat.Y16,ts=2517792259
[DEBUG] frames: total=84, depth_sets=79, color=1280×720,OBFormat.RGB,ts=2517792324, depth=640×576,OBFormat.Y16,ts=2517792326
[DEBUG] frames: total=85, depth_sets=80, color=1280×720,OBFormat.RGB,ts=2517792424, depth=640×576,OBFormat.Y16,ts=2517792425
[DEBUG] frames: total=86, depth_sets=81, color=1280×720,OBFormat.RGB,ts=2517792491, depth=640×576,OBFormat.Y16,ts=2517792492
[DEBUG] frames: total=87, depth_sets=82, color=1280×720,OBFormat.RGB,ts=2517792590, depth=640×576,OBFormat.Y16,ts=2517792592
[DEBUG] frames: total=88, depth_sets=83, color=1280×720,OBFormat.RGB,ts=2517792657, depth=640×576,OBFormat.Y16,ts=2517792658
[DEBUG] frames: total=89, depth_sets=84, color=1280×720,OBFormat.RGB,ts=2517792723, depth=640×576,OBFormat.Y16,ts=2517792725
[DEBUG] frames: total=90, depth_sets=85, color=1280×720,OBFormat.RGB,ts=2517792823, depth=640×576,OBFormat.Y16,ts=2517792824
[DEBUG] frames: total=91, depth_sets=86, color=1280×720,OBFormat.RGB,ts=2517792923, depth=640×576,OBFormat.Y16,ts=2517792924
[DEBUG] frames: total=92, depth_sets=87, color=1280×720,OBFormat.RGB,ts=2517792989, depth=640×576,OBFormat.Y16,ts=2517792991
[DEBUG] frames: total=93, depth_sets=88, color=1280×720,OBFormat.RGB,ts=2517793089, depth=640×576,OBFormat.Y16,ts=2517793090
[DEBUG] frames: total=94, depth_sets=89, color=1280×720,OBFormat.RGB,ts=2517793156, depth=640×576,OBFormat.Y16,ts=2517793157
[DEBUG] frames: total=95, depth_sets=90, color=1280×720,OBFormat.RGB,ts=2517793256, depth=640×576,OBFormat.Y16,ts=2517793257
[DEBUG] frames: total=96, depth_sets=91, color=1280×720,OBFormat.RGB,ts=2517793322, depth=640×576,OBFormat.Y16,ts=2517793323
[DEBUG] frames: total=97, depth_sets=92, color=1280×720,OBFormat.RGB,ts=2517793422, depth=640×576,OBFormat.Y16,ts=2517793423
