[INFO] Session log file: dataset/debug/session_20260520_163352.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2615783911, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2615784077, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=73, depth_sets=71, color=1280×720,OBFormat.RGB,ts=2615790628, depth=640×576,OBFormat.Y16,ts=2615790629
[DEBUG] frames: total=74, depth_sets=72, color=1280×720,OBFormat.RGB,ts=2615790728, depth=640×576,OBFormat.Y16,ts=2615790729
[DEBUG] frames: total=75, depth_sets=73, color=1280×720,OBFormat.RGB,ts=2615790794, depth=640×576,OBFormat.Y16,ts=2615790796
[DEBUG] frames: total=76, depth_sets=74, color=1280×720,OBFormat.RGB,ts=2615790894, depth=640×576,OBFormat.Y16,ts=2615790895
[DEBUG] frames: total=77, depth_sets=75, color=1280×720,OBFormat.RGB,ts=2615790961, depth=640×576,OBFormat.Y16,ts=2615790962
[DEBUG] frames: total=78, depth_sets=76, color=1280×720,OBFormat.RGB,ts=2615791060, depth=640×576,OBFormat.Y16,ts=2615791062
[DEBUG] frames: total=79, depth_sets=77, color=1280×720,OBFormat.RGB,ts=2615791160, depth=640×576,OBFormat.Y16,ts=2615791161
[DEBUG] frames: total=80, depth_sets=78, color=1280×720,OBFormat.RGB,ts=2615791227, depth=640×576,OBFormat.Y16,ts=2615791228
[DEBUG] frames: total=81, depth_sets=79, color=1280×720,OBFormat.RGB,ts=2615791326, depth=640×576,OBFormat.Y16,ts=2615791328
[DEBUG] frames: total=82, depth_sets=80, color=1280×720,OBFormat.RGB,ts=2615791393, depth=640×576,OBFormat.Y16,ts=2615791394
[DEBUG] frames: total=83, depth_sets=81, color=1280×720,OBFormat.RGB,ts=2615791493, depth=640×576,OBFormat.Y16,ts=2615791494
[DEBUG] frames: total=84, depth_sets=82, color=1280×720,OBFormat.RGB,ts=2615791559, depth=640×576,OBFormat.Y16,ts=2615791560
[DEBUG] frames: total=85, depth_sets=83, color=1280×720,OBFormat.RGB,ts=2615791659, depth=640×576,OBFormat.Y16,ts=2615791660
[DEBUG] frames: total=86, depth_sets=84, color=1280×720,OBFormat.RGB,ts=2615791725, depth=640×576,OBFormat.Y16,ts=2615791727
[DEBUG] frames: total=87, depth_sets=85, color=1280×720,OBFormat.RGB,ts=2615791825, depth=640×576,OBFormat.Y16,ts=2615791826
[DEBUG] frames: total=88, depth_sets=86, color=1280×720,OBFormat.RGB,ts=2615791892, depth=640×576,OBFormat.Y16,ts=2615791893
[DEBUG] frames: total=89, depth_sets=87, color=1280×720,OBFormat.RGB,ts=2615791991, depth=640×576,OBFormat.Y16,ts=2615791993
[DEBUG] frames: total=90, depth_sets=88, color=1280×720,OBFormat.RGB,ts=2615792058, depth=640×576,OBFormat.Y16,ts=2615792059
[DEBUG] frames: total=91, depth_sets=89, color=1280×720,OBFormat.RGB,ts=2615792158, depth=640×576,OBFormat.Y16,ts=2615792159
[DEBUG] frames: total=92, depth_sets=90, color=1280×720,OBFormat.RGB,ts=2615792224, depth=640×576,OBFormat.Y16,ts=2615792225
[DEBUG] frames: total=93, depth_sets=91, color=1280×720,OBFormat.RGB,ts=2615792324, depth=640×576,OBFormat.Y16,ts=2615792325
[DEBUG] frames: total=94, depth_sets=92, color=1280×720,OBFormat.RGB,ts=2615792424, depth=640×576,OBFormat.Y16,ts=2615792425
[DEBUG] frames: total=95, depth_sets=93, color=1280×720,OBFormat.RGB,ts=2615792490, depth=640×576,OBFormat.Y16,ts=2615792491
[DEBUG] frames: total=96, depth_sets=94, color=1280×720,OBFormat.RGB,ts=2615792590, depth=640×576,OBFormat.Y16,ts=2615792591
[DEBUG] frames: total=97, depth_sets=95, color=1280×720,OBFormat.RGB,ts=2615792657, depth=640×576,OBFormat.Y16,ts=2615792658
[DEBUG] frames: total=98, depth_sets=96, color=1280×720,OBFormat.RGB,ts=2615792756, depth=640×576,OBFormat.Y16,ts=2615792757
[DEBUG] frames: total=99, depth_sets=97, color=1280×720,OBFormat.RGB,ts=2615792823, depth=640×576,OBFormat.Y16,ts=2615792824
[DEBUG] frames: total=100, depth_sets=98, color=1280×720,OBFormat.RGB,ts=2615792923, depth=640×576,OBFormat.Y16,ts=2615792924
[DEBUG] frames: total=101, depth_sets=99, color=1280×720,OBFormat.RGB,ts=2615793022, depth=640×576,OBFormat.Y16,ts=2615793024
[DEBUG] frames: total=102, depth_sets=100, color=1280×720,OBFormat.RGB,ts=2615793089, depth=640×576,OBFormat.Y16,ts=2615793090
[DEBUG] frames: total=103, depth_sets=101, color=1280×720,OBFormat.RGB,ts=2615793189, depth=640×576,OBFormat.Y16,ts=2615793190
[DEBUG] frames: total=104, depth_sets=102, color=1280×720,OBFormat.RGB,ts=2615793255, depth=640×576,OBFormat.Y16,ts=2615793256
[DEBUG] frames: total=105, depth_sets=103, color=1280×720,OBFormat.RGB,ts=2615793355, depth=640×576,OBFormat.Y16,ts=2615793356
[DEBUG] frames: total=106, depth_sets=104, color=1280×720,OBFormat.RGB,ts=2615793455, depth=640×576,OBFormat.Y16,ts=2615793456
[DEBUG] frames: total=107, depth_sets=105, color=1280×720,OBFormat.RGB,ts=2615793521, depth=640×576,OBFormat.Y16,ts=2615793522
[DEBUG] frames: total=108, depth_sets=106, color=1280×720,OBFormat.RGB,ts=2615793621, depth=640×576,OBFormat.Y16,ts=2615793622
[DEBUG] frames: total=109, depth_sets=107, color=1280×720,OBFormat.RGB,ts=2615793687, depth=640×576,OBFormat.Y16,ts=2615793689
[DEBUG] frames: total=110, depth_sets=108, color=1280×720,OBFormat.RGB,ts=2615793787, depth=640×576,OBFormat.Y16,ts=2615793788
[DEBUG] frames: total=111, depth_sets=109, color=1280×720,OBFormat.RGB,ts=2615793887, depth=640×576,OBFormat.Y16,ts=2615793888
[DEBUG] frames: total=112, depth_sets=110, color=1280×720,OBFormat.RGB,ts=2615793953, depth=640×576,OBFormat.Y16,ts=2615793955
[DEBUG] frames: total=113, depth_sets=111, color=1280×720,OBFormat.RGB,ts=2615794020, depth=640×576,OBFormat.Y16,ts=2615794021
[DEBUG] frames: total=114, depth_sets=112, color=1280×720,OBFormat.RGB,ts=2615794120, depth=640×576,OBFormat.Y16,ts=2615794121
[DEBUG] frames: total=115, depth_sets=113, color=1280×720,OBFormat.RGB,ts=2615794220, depth=640×576,OBFormat.Y16,ts=2615794221
[DEBUG] frames: total=116, depth_sets=114, color=1280×720,OBFormat.RGB,ts=2615794286, depth=640×576,OBFormat.Y16,ts=2615794287
[DEBUG] frames: total=117, depth_sets=115, color=1280×720,OBFormat.RGB,ts=2615794386, depth=640×576,OBFormat.Y16,ts=2615794387
[DEBUG] frames: total=118, depth_sets=116, color=1280×720,OBFormat.RGB,ts=2615794452, depth=640×576,OBFormat.Y16,ts=2615794453
[DEBUG] frames: total=119, depth_sets=117, color=1280×720,OBFormat.RGB,ts=2615794552, depth=640×576,OBFormat.Y16,ts=2615794553
[DEBUG] frames: total=120, depth_sets=118, color=1280×720,OBFormat.RGB,ts=2615794652, depth=640×576,OBFormat.Y16,ts=2615794653
[DEBUG] frames: total=121, depth_sets=119, color=1280×720,OBFormat.RGB,ts=2615794718, depth=640×576,OBFormat.Y16,ts=2615794719
[DEBUG] frames: total=122, depth_sets=120, color=1280×720,OBFormat.RGB,ts=2615794818, depth=640×576,OBFormat.Y16,ts=2615794819
[DEBUG] frames: total=123, depth_sets=121, color=1280×720,OBFormat.RGB,ts=2615794885, depth=640×576,OBFormat.Y16,ts=2615794886
[DEBUG] frames: total=124, depth_sets=122, color=1280×720,OBFormat.RGB,ts=2615794984, depth=640×576,OBFormat.Y16,ts=2615794985
[DEBUG] frames: total=125, depth_sets=123, color=1280×720,OBFormat.RGB,ts=2615795051, depth=640×576,OBFormat.Y16,ts=2615795052
[DEBUG] frames: total=126, depth_sets=124, color=1280×720,OBFormat.RGB,ts=2615795151, depth=640×576,OBFormat.Y16,ts=2615795152
[DEBUG] frames: total=127, depth_sets=125, color=1280×720,OBFormat.RGB,ts=2615795217, depth=640×576,OBFormat.Y16,ts=2615795218
[DEBUG] frames: total=128, depth_sets=126, color=1280×720,OBFormat.RGB,ts=2615795317, depth=640×576,OBFormat.Y16,ts=2615795318
[DEBUG] frames: total=129, depth_sets=127, color=1280×720,OBFormat.RGB,ts=2615795383, depth=640×576,OBFormat.Y16,ts=2615795384
[DEBUG] frames: total=130, depth_sets=128, color=1280×720,OBFormat.RGB,ts=2615795483, depth=640×576,OBFormat.Y16,ts=2615795484
[DEBUG] frames: total=131, depth_sets=129, color=1280×720,OBFormat.RGB,ts=2615795583, depth=640×576,OBFormat.Y16,ts=2615795584
[DEBUG] frames: total=132, depth_sets=130, color=1280×720,OBFormat.RGB,ts=2615795649, depth=640×576,OBFormat.Y16,ts=2615795650
[DEBUG] frames: total=133, depth_sets=131, color=1280×720,OBFormat.RGB,ts=2615795749, depth=640×576,OBFormat.Y16,ts=2615795750
[DEBUG] frames: total=134, depth_sets=132, color=1280×720,OBFormat.RGB,ts=2615795816, depth=640×576,OBFormat.Y16,ts=2615795817
[DEBUG] frames: total=135, depth_sets=133, color=1280×720,OBFormat.RGB,ts=2615795915, depth=640×576,OBFormat.Y16,ts=2615795916
[DEBUG] frames: total=136, depth_sets=134, color=1280×720,OBFormat.RGB,ts=2615795982, depth=640×576,OBFormat.Y16,ts=2615795983
[DEBUG] frames: total=137, depth_sets=135, color=1280×720,OBFormat.RGB,ts=2615796082, depth=640×576,OBFormat.Y16,ts=2615796083
[DEBUG] frames: total=138, depth_sets=136, color=1280×720,OBFormat.RGB,ts=2615796148, depth=640×576,OBFormat.Y16,ts=2615796149
[DEBUG] frames: total=139, depth_sets=137, color=1280×720,OBFormat.RGB,ts=2615796248, depth=640×576,OBFormat.Y16,ts=2615796249
[DEBUG] frames: total=140, depth_sets=138, color=1280×720,OBFormat.RGB,ts=2615796314, depth=640×576,OBFormat.Y16,ts=2615796316
[DEBUG] frames: total=141, depth_sets=139, color=1280×720,OBFormat.RGB,ts=2615796414, depth=640×576,OBFormat.Y16,ts=2615796415
[DEBUG] frames: total=142, depth_sets=140, color=1280×720,OBFormat.RGB,ts=2615796481, depth=640×576,OBFormat.Y16,ts=2615796482
[DEBUG] frames: total=143, depth_sets=141, color=1280×720,OBFormat.RGB,ts=2615796580, depth=640×576,OBFormat.Y16,ts=2615796582
[DEBUG] frames: total=144, depth_sets=142, color=1280×720,OBFormat.RGB,ts=2615796680, depth=640×576,OBFormat.Y16,ts=2615796681
[DEBUG] frames: total=145, depth_sets=143, color=1280×720,OBFormat.RGB,ts=2615796747, depth=640×576,OBFormat.Y16,ts=2615796748
[DEBUG] frames: total=146, depth_sets=144, color=1280×720,OBFormat.RGB,ts=2615796846, depth=640×576,OBFormat.Y16,ts=2615796848
[DEBUG] frames: total=147, depth_sets=145, color=1280×720,OBFormat.RGB,ts=2615796913, depth=640×576,OBFormat.Y16,ts=2615796914
[DEBUG] frames: total=148, depth_sets=146, color=1280×720,OBFormat.RGB,ts=2615797013, depth=640×576,OBFormat.Y16,ts=2615797014
[DEBUG] frames: total=149, depth_sets=147, color=1280×720,OBFormat.RGB,ts=2615797079, depth=640×576,OBFormat.Y16,ts=2615797080
[DEBUG] frames: total=150, depth_sets=148, color=1280×720,OBFormat.RGB,ts=2615797179, depth=640×576,OBFormat.Y16,ts=2615797180
[DEBUG] frames: total=151, depth_sets=149, color=1280×720,OBFormat.RGB,ts=2615797279, depth=640×576,OBFormat.Y16,ts=2615797280
[DEBUG] frames: total=152, depth_sets=150, color=1280×720,OBFormat.RGB,ts=2615797345, depth=640×576,OBFormat.Y16,ts=2615797346
[DEBUG] frames: total=153, depth_sets=151, color=1280×720,OBFormat.RGB,ts=2615797445, depth=640×576,OBFormat.Y16,ts=2615797446
[DEBUG] frames: total=154, depth_sets=152, color=1280×720,OBFormat.RGB,ts=2615797545, depth=640×576,OBFormat.Y16,ts=2615797546
[DEBUG] frames: total=155, depth_sets=153, color=1280×720,OBFormat.RGB,ts=2615797611, depth=640×576,OBFormat.Y16,ts=2615797612
[DEBUG] frames: total=156, depth_sets=154, color=1280×720,OBFormat.RGB,ts=2615797711, depth=640×576,OBFormat.Y16,ts=2615797712
[DEBUG] frames: total=157, depth_sets=155, color=1280×720,OBFormat.RGB,ts=2615797777, depth=640×576,OBFormat.Y16,ts=2615797779
[DEBUG] frames: total=158, depth_sets=156, color=1280×720,OBFormat.RGB,ts=2615797877, depth=640×576,OBFormat.Y16,ts=2615797878
[DEBUG] frames: total=159, depth_sets=157, color=1280×720,OBFormat.RGB,ts=2615797944, depth=640×576,OBFormat.Y16,ts=2615797945
[DEBUG] frames: total=160, depth_sets=158, color=1280×720,OBFormat.RGB,ts=2615798044, depth=640×576,OBFormat.Y16,ts=2615798045
[DEBUG] frames: total=161, depth_sets=159, color=1280×720,OBFormat.RGB,ts=2615798110, depth=640×576,OBFormat.Y16,ts=2615798111
[DEBUG] frames: total=162, depth_sets=160, color=1280×720,OBFormat.RGB,ts=2615798210, depth=640×576,OBFormat.Y16,ts=2615798211
[DEBUG] frames: total=163, depth_sets=161, color=1280×720,OBFormat.RGB,ts=2615798276, depth=640×576,OBFormat.Y16,ts=2615798277
[DEBUG] frames: total=164, depth_sets=162, color=1280×720,OBFormat.RGB,ts=2615798376, depth=640×576,OBFormat.Y16,ts=2615798377
[DEBUG] frames: total=165, depth_sets=163, color=1280×720,OBFormat.RGB,ts=2615798476, depth=640×576,OBFormat.Y16,ts=2615798477
[DEBUG] frames: total=166, depth_sets=164, color=1280×720,OBFormat.RGB,ts=2615798576, depth=640×576,OBFormat.Y16,ts=2615798577
[DEBUG] frames: total=167, depth_sets=165, color=1280×720,OBFormat.RGB,ts=2615798642, depth=640×576,OBFormat.Y16,ts=2615798643
[DEBUG] frames: total=168, depth_sets=166, color=1280×720,OBFormat.RGB,ts=2615798742, depth=640×576,OBFormat.Y16,ts=2615798743
[DEBUG] frames: total=169, depth_sets=167, color=1280×720,OBFormat.RGB,ts=2615798842, depth=640×576,OBFormat.Y16,ts=2615798843
[DEBUG] frames: total=170, depth_sets=168, color=1280×720,OBFormat.RGB,ts=2615798908, depth=640×576,OBFormat.Y16,ts=2615798909
[DEBUG] frames: total=171, depth_sets=169, color=1280×720,OBFormat.RGB,ts=2615799008, depth=640×576,OBFormat.Y16,ts=2615799009
[DEBUG] frames: total=172, depth_sets=170, color=1280×720,OBFormat.RGB,ts=2615799074, depth=640×576,OBFormat.Y16,ts=2615799075
[DEBUG] frames: total=173, depth_sets=171, color=1280×720,OBFormat.RGB,ts=2615799174, depth=640×576,OBFormat.Y16,ts=2615799175
[DEBUG] frames: total=174, depth_sets=172, color=1280×720,OBFormat.RGB,ts=2615799241, depth=640×576,OBFormat.Y16,ts=2615799242
[DEBUG] frames: total=175, depth_sets=173, color=1280×720,OBFormat.RGB,ts=2615799340, depth=640×576,OBFormat.Y16,ts=2615799341
[DEBUG] frames: total=176, depth_sets=174, color=1280×720,OBFormat.RGB,ts=2615799440, depth=640×576,OBFormat.Y16,ts=2615799441
[DEBUG] frames: total=177, depth_sets=175, color=1280×720,OBFormat.RGB,ts=2615799540, depth=640×576,OBFormat.Y16,ts=2615799541
[DEBUG] frames: total=178, depth_sets=176, color=1280×720,OBFormat.RGB,ts=2615799606, depth=640×576,OBFormat.Y16,ts=2615799607
[DEBUG] frames: total=179, depth_sets=177, color=1280×720,OBFormat.RGB,ts=2615799706, depth=640×576,OBFormat.Y16,ts=2615799707
[DEBUG] frames: total=180, depth_sets=178, color=1280×720,OBFormat.RGB,ts=2615799773, depth=640×576,OBFormat.Y16,ts=2615799774
[DEBUG] frames: total=181, depth_sets=179, color=1280×720,OBFormat.RGB,ts=2615799872, depth=640×576,OBFormat.Y16,ts=2615799873
[DEBUG] frames: total=182, depth_sets=180, color=1280×720,OBFormat.RGB,ts=2615799939, depth=640×576,OBFormat.Y16,ts=2615799940
[DEBUG] frames: total=183, depth_sets=181, color=1280×720,OBFormat.RGB,ts=2615800039, depth=640×576,OBFormat.Y16,ts=2615800040
[DEBUG] frames: total=184, depth_sets=182, color=1280×720,OBFormat.RGB,ts=2615800138, depth=640×576,OBFormat.Y16,ts=2615800139
[DEBUG] frames: total=185, depth_sets=183, color=1280×720,OBFormat.RGB,ts=2615800205, depth=640×576,OBFormat.Y16,ts=2615800206
[DEBUG] frames: total=186, depth_sets=184, color=1280×720,OBFormat.RGB,ts=2615800305, depth=640×576,OBFormat.Y16,ts=2615800306
[DEBUG] frames: total=187, depth_sets=185, color=1280×720,OBFormat.RGB,ts=2615800371, depth=640×576,OBFormat.Y16,ts=2615800372
