[INFO] Session log file: dataset/debug/session_20260519_180445.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835624, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835691, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=3, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835724, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=166, depth_sets=163, color=1280×720,OBFormat.RGB,ts=2534850920, depth=640×576,OBFormat.Y16,ts=2534850921
[DEBUG] frames: total=167, depth_sets=164, color=1280×720,OBFormat.RGB,ts=2534851020, depth=640×576,OBFormat.Y16,ts=2534851021
[DEBUG] frames: total=168, depth_sets=165, color=1280×720,OBFormat.RGB,ts=2534851087, depth=640×576,OBFormat.Y16,ts=2534851088
[DEBUG] frames: total=169, depth_sets=166, color=1280×720,OBFormat.RGB,ts=2534851186, depth=640×576,OBFormat.Y16,ts=2534851187
[DEBUG] frames: total=170, depth_sets=167, color=1280×720,OBFormat.RGB,ts=2534851253, depth=640×576,OBFormat.Y16,ts=2534851254
[DEBUG] frames: total=171, depth_sets=168, color=1280×720,OBFormat.RGB,ts=2534851353, depth=640×576,OBFormat.Y16,ts=2534851354
[DEBUG] frames: total=172, depth_sets=169, color=1280×720,OBFormat.RGB,ts=2534851419, depth=640×576,OBFormat.Y16,ts=2534851420
[DEBUG] frames: total=173, depth_sets=170, color=1280×720,OBFormat.RGB,ts=2534851519, depth=640×576,OBFormat.Y16,ts=2534851520
[DEBUG] frames: total=174, depth_sets=171, color=1280×720,OBFormat.RGB,ts=2534851585, depth=640×576,OBFormat.Y16,ts=2534851586
[DEBUG] frames: total=175, depth_sets=172, color=1280×720,OBFormat.RGB,ts=2534851685, depth=640×576,OBFormat.Y16,ts=2534851686
[DEBUG] frames: total=176, depth_sets=173, color=1280×720,OBFormat.RGB,ts=2534851752, depth=640×576,OBFormat.Y16,ts=2534851753
[DEBUG] frames: total=177, depth_sets=174, color=1280×720,OBFormat.RGB,ts=2534851851, depth=640×576,OBFormat.Y16,ts=2534851853
[DEBUG] frames: total=178, depth_sets=175, color=1280×720,OBFormat.RGB,ts=2534851918, depth=640×576,OBFormat.Y16,ts=2534851919
[DEBUG] frames: total=179, depth_sets=176, color=1280×720,OBFormat.RGB,ts=2534851984, depth=640×576,OBFormat.Y16,ts=2534851986
[DEBUG] frames: total=180, depth_sets=177, color=1280×720,OBFormat.RGB,ts=2534852084, depth=640×576,OBFormat.Y16,ts=2534852085
